Step,class_contrastive_both_mod_single_label_imgs - train_thermal_class_pull_loss,class_contrastive_both_mod_single_label_imgs - train_thermal_class_pull_loss__MIN,class_contrastive_both_mod_single_label_imgs - train_thermal_class_pull_loss__MAX
310,0.697565019,0.697565019,0.697565019
311,0.43758598,0.43758598,0.43758598
312,0.231151611,0.231151611,0.231151611
313,0.410429597,0.410429597,0.410429597
314,0.405714303,0.405714303,0.405714303
315,0.850484371,0.850484371,0.850484371
316,0.581996799,0.581996799,0.581996799
317,1.082951427,1.082951427,1.082951427
318,0.513760388,0.513760388,0.513760388
319,0.714043558,0.714043558,0.714043558
321,0.666177988,0.666177988,0.666177988
322,0.356999874,0.356999874,0.356999874
324,0.782782197,0.782782197,0.782782197
325,0.629055858,0.629055858,0.629055858
326,0.676425099,0.676425099,0.676425099
327,0.316767752,0.316767752,0.316767752
329,1.12440753,1.12440753,1.12440753
330,0.553760648,0.553760648,0.553760648
331,0.821054339,0.821054339,0.821054339
332,0.87633574,0.87633574,0.87633574
333,0.793727636,0.793727636,0.793727636
334,0.635946989,0.635946989,0.635946989
335,0.533957481,0.533957481,0.533957481
336,0.839205205,0.839205205,0.839205205
338,0.548757255,0.548757255,0.548757255
341,0.566209912,0.566209912,0.566209912
342,0.541524231,0.541524231,0.541524231
343,0.401820451,0.401820451,0.401820451
344,0.80847615,0.80847615,0.80847615
345,0.640079856,0.640079856,0.640079856
346,0.846463442,0.846463442,0.846463442
347,0.869682968,0.869682968,0.869682968
351,0.768665314,0.768665314,0.768665314
352,0.389208406,0.389208406,0.389208406
353,0.778986752,0.778986752,0.778986752
354,0.91098094,0.91098094,0.91098094
356,0.418220282,0.418220282,0.418220282
357,0.43652615,0.43652615,0.43652615
358,0.817361057,0.817361057,0.817361057
359,0.594506025,0.594506025,0.594506025
360,0.053259559,0.053259559,0.053259559
361,0.523542881,0.523542881,0.523542881
362,0.533384204,0.533384204,0.533384204
363,0.354057193,0.354057193,0.354057193
364,0.98279804,0.98279804,0.98279804
365,0.257727414,0.257727414,0.257727414
366,0.645145237,0.645145237,0.645145237
367,0.56919086,0.56919086,0.56919086
368,0.556186914,0.556186914,0.556186914
372,0.33751893,0.33751893,0.33751893
373,0.332387567,0.332387567,0.332387567
374,0.550580919,0.550580919,0.550580919
375,0.542190135,0.542190135,0.542190135
376,0.75536567,0.75536567,0.75536567
378,0.562954962,0.562954962,0.562954962
379,0.700917006,0.700917006,0.700917006
380,0.840924859,0.840924859,0.840924859
382,0.500112295,0.500112295,0.500112295
384,0.451286018,0.451286018,0.451286018
385,0.319352865,0.319352865,0.319352865
387,0.534552753,0.534552753,0.534552753
388,0.320424438,0.320424438,0.320424438
389,0.667588413,0.667588413,0.667588413
390,0.614559531,0.614559531,0.614559531
391,0.775244713,0.775244713,0.775244713
392,0.267863989,0.267863989,0.267863989
393,0.53425622,0.53425622,0.53425622
395,0.732549191,0.732549191,0.732549191
396,0.374946892,0.374946892,0.374946892
397,0.412177294,0.412177294,0.412177294
398,0.524985373,0.524985373,0.524985373
399,0.249552697,0.249552697,0.249552697
400,0.18135491,0.18135491,0.18135491
402,0.551095009,0.551095009,0.551095009
403,0.770986795,0.770986795,0.770986795
406,0.450245798,0.450245798,0.450245798
407,0.284371138,0.284371138,0.284371138
408,0.559383214,0.559383214,0.559383214
409,0.352459043,0.352459043,0.352459043
410,0.558887064,0.558887064,0.558887064
411,0.763057351,0.763057351,0.763057351
412,0.572140157,0.572140157,0.572140157
413,0.745386958,0.745386958,0.745386958
414,0.283360541,0.283360541,0.283360541
415,0.375746399,0.375746399,0.375746399
416,0.21475485,0.21475485,0.21475485
417,0.539427161,0.539427161,0.539427161
418,0.337978154,0.337978154,0.337978154
421,0.551032901,0.551032901,0.551032901
422,0.552511334,0.552511334,0.552511334
423,0.503653347,0.503653347,0.503653347
425,1.069729567,1.069729567,1.069729567
426,0.573166966,0.573166966,0.573166966
427,0.569300354,0.569300354,0.569300354
428,0.396958262,0.396958262,0.396958262
430,0.507111609,0.507111609,0.507111609
432,0.539905548,0.539905548,0.539905548
433,0.466151953,0.466151953,0.466151953
434,0.79278791,0.79278791,0.79278791
435,1.075161219,1.075161219,1.075161219
436,0.773419261,0.773419261,0.773419261
437,0.617526054,0.617526054,0.617526054
439,0.475991845,0.475991845,0.475991845
440,0.779268324,0.779268324,0.779268324
441,0.793536544,0.793536544,0.793536544
442,0.130525291,0.130525291,0.130525291
443,0.311792493,0.311792493,0.311792493
444,0.569708645,0.569708645,0.569708645
445,0.380669773,0.380669773,0.380669773
446,0.794745028,0.794745028,0.794745028
447,0.648972273,0.648972273,0.648972273
448,0.478852868,0.478852868,0.478852868
449,0.445488036,0.445488036,0.445488036
450,0.683592796,0.683592796,0.683592796
451,1.069099188,1.069099188,1.069099188
452,0.486148179,0.486148179,0.486148179
453,0.520419598,0.520419598,0.520419598
454,0.221847594,0.221847594,0.221847594
456,0.375677675,0.375677675,0.375677675
457,0.028547239,0.028547239,0.028547239
459,0.553930283,0.553930283,0.553930283
460,0.331071675,0.331071675,0.331071675
461,0.417090088,0.417090088,0.417090088
462,0.460684657,0.460684657,0.460684657
463,0.082236268,0.082236268,0.082236268
464,0.324593574,0.324593574,0.324593574
465,0.585431099,0.585431099,0.585431099
466,0.684031367,0.684031367,0.684031367
467,0.562039793,0.562039793,0.562039793
468,0.669193625,0.669193625,0.669193625
469,0.361076474,0.361076474,0.361076474
470,0.30320552,0.30320552,0.30320552
471,0.630377054,0.630377054,0.630377054
472,0.53260088,0.53260088,0.53260088
473,0.313474119,0.313474119,0.313474119
474,0.469885945,0.469885945,0.469885945
475,0.385255814,0.385255814,0.385255814
477,0.54616034,0.54616034,0.54616034
478,0.476692736,0.476692736,0.476692736
479,0.131187171,0.131187171,0.131187171
480,0.665569901,0.665569901,0.665569901
483,0.60407865,0.60407865,0.60407865
484,0.786577582,0.786577582,0.786577582
486,0.349809736,0.349809736,0.349809736
487,0.406609237,0.406609237,0.406609237
488,0.148725659,0.148725659,0.148725659
489,0.28598839,0.28598839,0.28598839
490,0.293120116,0.293120116,0.293120116
491,0.634428978,0.634428978,0.634428978
492,0.507265866,0.507265866,0.507265866
493,0.505459785,0.505459785,0.505459785
494,0.383067608,0.383067608,0.383067608
495,0.036291841,0.036291841,0.036291841
496,0.105269559,0.105269559,0.105269559
497,0.286375761,0.286375761,0.286375761
498,0.549080133,0.549080133,0.549080133
499,0.832868934,0.832868934,0.832868934
500,0.313670993,0.313670993,0.313670993
501,0.32303825,0.32303825,0.32303825
502,0.723039985,0.723039985,0.723039985
503,0.634344757,0.634344757,0.634344757
504,0.116517723,0.116517723,0.116517723
505,0.853548527,0.853548527,0.853548527
506,0.212263286,0.212263286,0.212263286
507,0.566384196,0.566384196,0.566384196
508,0.398576349,0.398576349,0.398576349
509,0.778452516,0.778452516,0.778452516
510,0.359401613,0.359401613,0.359401613
511,0.801207304,0.801207304,0.801207304
513,0.623095155,0.623095155,0.623095155
514,0.306069165,0.306069165,0.306069165
515,0.865808189,0.865808189,0.865808189
517,0.241085038,0.241085038,0.241085038
518,0.373512983,0.373512983,0.373512983
519,0.553168416,0.553168416,0.553168416
520,0.487255424,0.487255424,0.487255424
521,0.323485732,0.323485732,0.323485732
522,0.069132142,0.069132142,0.069132142
523,0.363756895,0.363756895,0.363756895
